post	pre
http://purl.obolibrary.org/obo/FBbt_00111257	http://purl.obolibrary.org/obo/FBbt_00111229
http://purl.obolibrary.org/obo/FBbt_00111690	http://purl.obolibrary.org/obo/FBbt_00111695
http://purl.obolibrary.org/obo/FBbt_00111690	http://purl.obolibrary.org/obo/FBbt_00111699
http://purl.obolibrary.org/obo/FBbt_00005723	http://purl.obolibrary.org/obo/FBbt_00004215
http://purl.obolibrary.org/obo/FBbt_00005723	http://purl.obolibrary.org/obo/FBbt_00004213
http://purl.obolibrary.org/obo/FBbt_00005722	http://purl.obolibrary.org/obo/FBbt_00004223
http://purl.obolibrary.org/obo/FBbt_00005722	http://purl.obolibrary.org/obo/FBbt_00004221
http://purl.obolibrary.org/obo/FBbt_00111257	http://purl.obolibrary.org/obo/FBbt_00111230
http://purl.obolibrary.org/obo/FBbt_00111258	http://purl.obolibrary.org/obo/FBbt_00111229
http://purl.obolibrary.org/obo/FBbt_00100467	http://purl.obolibrary.org/obo/FBbt_00111702
http://purl.obolibrary.org/obo/FBbt_00100467	http://purl.obolibrary.org/obo/FBbt_00111704
http://purl.obolibrary.org/obo/FBbt_00100467	http://purl.obolibrary.org/obo/FBbt_00111705
http://purl.obolibrary.org/obo/FBbt_00111258	http://purl.obolibrary.org/obo/FBbt_00111230
http://purl.obolibrary.org/obo/FBbt_00111692	http://purl.obolibrary.org/obo/FBbt_00111690
http://purl.obolibrary.org/obo/FBbt_00111259	http://purl.obolibrary.org/obo/FBbt_00111227
http://purl.obolibrary.org/obo/FBbt_00111259	http://purl.obolibrary.org/obo/FBbt_00111229
http://purl.obolibrary.org/obo/FBbt_00111689	http://purl.obolibrary.org/obo/FBbt_00111723
http://purl.obolibrary.org/obo/FBbt_00111692	http://purl.obolibrary.org/obo/FBbt_00111693
http://purl.obolibrary.org/obo/FBbt_00111255	http://purl.obolibrary.org/obo/FBbt_00111227
http://purl.obolibrary.org/obo/FBbt_00111255	http://purl.obolibrary.org/obo/FBbt_00111228
http://purl.obolibrary.org/obo/FBbt_00100468	http://purl.obolibrary.org/obo/FBbt_00111704
http://purl.obolibrary.org/obo/FBbt_00100468	http://purl.obolibrary.org/obo/FBbt_00111705
http://purl.obolibrary.org/obo/FBbt_00100468	http://purl.obolibrary.org/obo/FBbt_00111702
http://purl.obolibrary.org/obo/FBbt_00111256	http://purl.obolibrary.org/obo/FBbt_00111227
http://purl.obolibrary.org/obo/FBbt_00111256	http://purl.obolibrary.org/obo/FBbt_00111229
http://purl.obolibrary.org/obo/FBbt_00100470	http://purl.obolibrary.org/obo/FBbt_00111699
http://purl.obolibrary.org/obo/FBbt_00100471	http://purl.obolibrary.org/obo/FBbt_00111689
http://purl.obolibrary.org/obo/FBbt_00100469	http://purl.obolibrary.org/obo/FBbt_00111702
http://purl.obolibrary.org/obo/FBbt_00100469	http://purl.obolibrary.org/obo/FBbt_00111705
http://purl.obolibrary.org/obo/FBbt_00005722	http://purl.obolibrary.org/obo/FBbt_00004213
http://purl.obolibrary.org/obo/FBbt_00111689	http://purl.obolibrary.org/obo/FBbt_00111700
